node_id,x_coord,y_coord
671,-111.917989,33.4208928
672,-111.9182159,33.4208937
673,-111.9182186,33.4200129
674,-111.9177083,33.4199793
675,-111.9179814,33.4199904
676,-111.9212816,33.420242
677,-111.9381424,33.4149982
678,-111.9394923,33.4160741
679,-111.9398348,33.4170325
680,-111.9398439,33.4174549
681,-111.9398468,33.4176189
682,-111.939854,33.4190575
683,-111.9398833,33.4204904
684,-111.9399581,33.4231886
685,-111.9399523,33.4243448
686,-111.9399606,33.425492
687,-111.9399641,33.4264662
688,-111.9395019,33.4273825
689,-111.9399633,33.4273851
690,-111.9399644,33.4274908
691,-111.9399642,33.4275269
692,-111.9399635,33.4295773
693,-111.9399703,33.4297456
694,-111.9211598,33.4292573
695,-111.9196278,33.4301419
696,-111.918223,33.4304339
697,-111.9173182,33.4309518
698,-111.9165191,33.4304935
699,-111.9159098,33.4313742
700,-111.9376334,33.4243567
701,-111.9289501,33.4212297
702,-111.9280254,33.4203682
703,-111.9278753,33.4204464
704,-111.9271059,33.4206201
705,-111.9263008,33.4202837
706,-111.9269758,33.420725
707,-111.9267721,33.4203343
708,-111.9274171,33.4203292
709,-111.9268557,33.4203337
710,-111.9262331,33.420595
711,-111.9263871,33.4206018
713,-111.9262331,33.4228357
714,-111.9262287,33.4233394
715,-111.9258887,33.4233401
716,-111.9255869,33.4233407
717,-111.9263882,33.4238834
718,-111.9259069,33.4244988
720,-111.9262833,33.4283177
721,-111.9236237,33.4283392
722,-111.9413318,33.4285186
724,-111.9297937,33.4287965
725,-111.9239233,33.4288837
727,-111.9239819,33.4289759
728,-111.9341457,33.4293078
730,-111.9425485,33.4291402
731,-111.9126373,33.4292226
732,-111.911908,33.4292497
733,-111.9232919,33.4292614
734,-111.917341,33.4293282
736,-111.9126336,33.4293372
738,-111.9196471,33.4293489
739,-111.9211588,33.4293611
740,-111.9428674,33.4293722
741,-111.9081933,33.4293742
742,-111.9426236,33.4294744
743,-111.9322313,33.4294306
744,-111.941344,33.4294485
745,-111.934056,33.4294897
746,-111.9409154,33.429599
747,-111.9339783,33.4296433
748,-111.9240031,33.4296451
751,-111.9343207,33.4298487
752,-111.9385575,33.4299923
753,-111.9349285,33.4300573
754,-111.9350596,33.4303286
755,-111.9374158,33.430404
756,-111.9374938,33.4305413
757,-111.9357552,33.4306078
758,-111.9336739,33.4302638
759,-111.9378105,33.4312263
760,-111.9349534,33.4315822
761,-111.9245522,33.4179118
762,-111.932811,33.414864
763,-111.9366262,33.4161337
764,-111.9365009,33.416198
765,-111.9367114,33.41621
766,-111.9366289,33.4162774
767,-111.9091145,33.4145185
768,-111.9089293,33.4146164
769,-111.9091141,33.4146219
770,-111.9092659,33.4319199
771,-111.9090932,33.4218349
772,-111.926407,33.4218739
773,-111.9262412,33.421881
774,-111.9290744,33.4220195
775,-111.9265015,33.4220263
776,-111.9261176,33.4220314
777,-111.926408,33.4221502
778,-111.9262405,33.4221644
779,-111.9349717,33.4252787
780,-111.93477,33.4253016
781,-111.9346182,33.4254572
782,-111.9350723,33.42548
783,-111.938251,33.4219878
784,-111.9398577,33.4219804
785,-111.936566,33.4219912
787,-111.9350665,33.4220018
788,-111.9464058,33.4314309
789,-111.9294436,33.4286569
790,-111.9261046,33.4287728
791,-111.9294294,33.4287777
792,-111.9291448,33.4287897
793,-111.9264921,33.4287917
794,-111.9261081,33.4288836
795,-111.9265353,33.4290305
796,-111.9262855,33.4290006
797,-111.9400836,33.4294932
798,-111.9399608,33.4294989
799,-111.9401777,33.429559
800,-111.9401871,33.4296574
801,-111.9398829,33.4296907
802,-111.9462662,33.4313925
803,-111.938061,33.4219867
805,-111.936754,33.421991
806,-111.9346809,33.4253945
807,-111.9347036,33.4257695
808,-111.9348328,33.4258491
809,-111.9368583,33.4265586
810,-111.9368944,33.4269601
811,-111.9358858,33.4273311
812,-111.9363218,33.4276973
813,-111.9392114,33.4296405
814,-111.9394362,33.4159978
817,-111.9336635,33.4249279
818,-111.9336431,33.4249755
819,-111.9336253,33.4250115
820,-111.9336026,33.4250545
821,-111.9345749,33.4255132
822,-111.9398921,33.4274906
823,-111.9395096,33.4275174
824,-111.9398931,33.4275275
825,-111.9247803,33.4174461
826,-111.9247347,33.4177853
827,-111.9249009,33.4168044
828,-111.9275425,33.4220137
829,-111.9270745,33.4220186
830,-111.92561,33.4220306
831,-111.9255993,33.4214284
832,-111.9253713,33.4220302
833,-111.9248832,33.4220294
834,-111.9254773,33.4211149
835,-111.9252412,33.42105
836,-111.9250879,33.4212074
837,-111.924883,33.4218077
838,-111.9256992,33.4211631
839,-111.925608,33.4219173
840,-111.9240906,33.4217977
841,-111.9240937,33.4207915
842,-111.923885,33.4181473
843,-111.9213526,33.4193597
844,-111.9238039,33.4180747
845,-111.9219521,33.4194212
846,-111.9234954,33.4178081
847,-111.9228355,33.4202623
848,-111.9232354,33.4183341
849,-111.9227335,33.4179463
850,-111.9092699,33.4319755
851,-111.9434283,33.4295304
852,-111.9399748,33.4301976
853,-111.9412736,33.4254885
854,-111.9401264,33.4316795
855,-111.9426847,33.423443
856,-111.9412691,33.4243385
857,-111.9401399,33.4303209
858,-111.9367711,33.4254993
859,-111.9265214,33.4202793
860,-111.9095554,33.4146448
861,-111.9215725,33.411344
862,-111.920032,33.4113543
863,-111.9457728,33.4264284
864,-111.9442762,33.426894
865,-111.9090811,33.4290911
866,-111.9088973,33.4292026
867,-111.9090965,33.4294256
868,-111.9176593,33.4232191
869,-111.9176682,33.4237215
870,-111.9123316,33.4104644
871,-111.9152738,33.4089315
872,-111.9152745,33.4091291
873,-111.9155462,33.4092324
874,-111.9223443,33.4093823
875,-111.9155475,33.4094363
876,-111.9152626,33.4106819
877,-111.9131051,33.4106939
878,-111.922574,33.4111077
879,-111.9209422,33.4116865
880,-111.920949,33.41231
881,-111.9218223,33.4128945
882,-111.922073,33.4128945
883,-111.9220711,33.4130955
884,-111.9227232,33.4131008
885,-111.922067,33.4134375
886,-111.9217358,33.4137285
887,-111.921746,33.4144752
888,-111.9220713,33.4144751
889,-111.9220805,33.4147096
890,-111.9228189,33.4147158
891,-111.9220806,33.4148179
892,-111.9271706,33.4159451
893,-111.9328964,33.4171119
894,-111.936723,33.4140374
895,-111.9366051,33.4144951
896,-111.9369132,33.4144903
897,-111.9361482,33.4144959
898,-111.9357176,33.4144566
899,-111.9367329,33.4144931
900,-111.9350734,33.4143045
901,-111.9357115,33.4143
902,-111.9350708,33.4141524
903,-111.9369054,33.4140335
904,-111.9350737,33.4144636
905,-111.9357062,33.41415
906,-111.9352392,33.416272
907,-111.9363553,33.4161918
908,-111.9361673,33.4163482
909,-111.9359152,33.4166504
910,-111.9350535,33.4170534
911,-111.9350529,33.4169818
912,-111.9356871,33.4166539
913,-111.9359373,33.4165313
914,-111.9366318,33.4164108
915,-111.9359372,33.4164886
916,-111.9355261,33.4166564
917,-111.9360976,33.4164198
918,-111.9350501,33.4166638
919,-111.9360976,33.4164892
